Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
開案縣市_1,開案縣市_2,開案縣市_3,年度,機關名稱  ,標案案號,標案名稱,招標方式,標的分類,公告日期,決標金額,決標公告,無法決標,功能選項,關鍵字,決標方式,預算金額,擴充,擴充金額,補助,投標廠商數,得標廠商,投標廠商1,投標廠商2
六都,臺南市,公所,112,臺南市南化區公所,111B008,112年度關山里監視系統平台租賃及維運,公開取得報價單或企劃書,財物類,112/02/07,305000,1,,檢視,(租賃)&(監視),參考最有利標精神,310000,以原契約條件及價金核算付款，不再另行辦理議價。,,,2,宏光電信電機有限公司,聯昱鑫實業社,
六都,臺南市,公所,112,臺南市南化區公所,111B007,112年度玉山里監視系統平台租賃及維運,公開取得報價單或企劃書,財物類,112/02/07,279000,1,,檢視,(租賃)&(監視),參考最有利標精神,290000,,,,2,宏光電信電機有限公司,聯昱鑫實業社,
六都,臺南市,公所,112,臺南市新營區公所,112d033,113年度大新營區監視錄影系統服務租賃採購案,公開取得報價單或企劃書,財物類,112/12/15,1170000,1,,檢視,(租賃)&(監視),參考最有利標精神,1170000,,,,1,南天有線電視股份有限公司,,
六都,臺南市,公所,111,臺南市新營區公所,111d003,111年度大新營區監視錄影系統服務租賃案,公開取得報價單或企劃書,財物類,111/02/09,954000,1,,檢視,(租賃)&(監視),參考最有利標精神,954000,,,,1,南天有線電視股份有限公司,,
六都,臺南市,公所,112,臺南市新營區公所,111d050,112年度大新營區監視錄影系統服務租賃案,公開取得報價單或企劃書,財物類,112/01/11,954000,1,,檢視,(租賃)&(監視),參考最有利標精神,954000,,,,1,南天有線電視股份有限公司,,
六都,臺南市,公所,111,臺南市麻豆區公所,1110216,111年度麻豆、下營、六甲、官田等4區公所監視錄影系統服務租賃聯合採購案,公開取得報價單或企劃書,勞務類,111/04/06,792000,1,,檢視,(租賃)&(監視),參考最有利標精神,792000,,,,1,南天有線電視股份有限公司,,
六都,臺南市,公所,112,臺南市麻豆區公所,1111114-1,112年度麻豆、下營、六甲、官田等4區公所監視錄影系統服務租賃聯合採購案,公開取得報價單或企劃書,勞務類,112/01/17,792000,1,,檢視,(租賃)&(監視),參考最有利標精神,792000,,,,1,南天有線電視股份有限公司,,
中央機關,警政署,警政署,112,內政部警政署保安警察第七總隊,7SPC-11208c01,112年度第二期租賃式刑事偵查影像辨識系統暨國土犯罪情資分析平台點位擴充介接整合採購案,經公開評選或公開徵求之限制性招標,勞務類,112/11/08,49700000,1,,檢視,(租賃)&(辨識),準用最有利標,49770000,X,,,1,捷睿智能股份有限公司,,
中央機關,警政署,警政署,111,內政部警政署保安警察第七總隊,7SPC-11106c03,警政署保安警察第七總隊租賃式刑事偵查影像辨識系統暨國土犯罪情資分析平台採購案,公開招標,財物類,111/07/27,15480000,1,,檢視,(租賃)&(辨識),最低標,16008000,自決標日次日起至履約期滿1個月內(114年11月30日)，由本總隊保留未來115年1月1日起至116年12月31日止，金額608萬元以內辦理後續擴充之權利,6080000,,1,捷睿智能股份有限公司,,
中央機關,警政署,警政署,111,內政部警政署基隆港務警察總隊,1110307,111年基隆暨臺北港區監視錄影系統租賃案,公開招標,財物類,111/04/06,4817500,1,,檢視,(租賃)&(監視),最低標,5125000,"本總隊保留租賃期滿後，得向得標廠商後續擴充續約2年之權利，續約
之項目及數量與原契約同。",10250000,,1,德閎企業有限公司,,
中央機關,警政署,警政署,111,內政部警政署基隆港務警察總隊,1110518-1,111年6-7月份基隆港區監視錄影系統租賃案,限制性招標(未經公開評選或公開徵求),財物類,111/05/26,210000,1,,檢視,(租賃)&(監視),原公告案號：KLHPB1070501,,,,,1,德閎企業有限公司,,
中央機關,警政署,警政署,111,內政部警政署基隆港務警察總隊,1110518-2,111年6-7月份臺北港區監視錄影系統租賃案,限制性招標(未經公開評選或公開徵求),財物類,111/05/26,194000,1,,檢視,(租賃)&(監視),原公告案號：KLHPB1061101,,,,,,德閎企業有限公司,,
